player,team,position,90s,carries_pa,touches_pa,succ_takeons,carries_final_third,prog_carries,fouls_drawn,passes_pa,passes_final_third,prog_passes,key_passes,xAG,xA,npxG,shots,takeons_lead_to_shot,carry_losses
Antoine Griezmann,Atlético Madrid,"FW,MF",16.8,0.23809523809523808,3.75,0.5952380952380952,1.607142857142857,1.7857142857142856,0.9523809523809523,1.7857142857142856,3.988095238095238,5.476190476190476,1.8452380952380951,0.2738095238095238,0.22023809523809523,0.23214285714285712,1.607142857142857,0.0,2.321428571428571
Vincenzo Grifo,Freiburg,"FW,MF",14.7,0.7482993197278912,2.4489795918367347,1.08843537414966,1.1564625850340136,2.0408163265306123,0.6802721088435374,1.9047619047619049,4.285714285714286,4.6938775510204085,2.380952380952381,0.2448979591836735,0.30612244897959184,0.17687074829931973,2.7891156462585034,0.40816326530612246,2.2448979591836737
Marco Grüll,Werder Bremen,"FW,MF",8.4,0.9523809523809523,4.8809523809523805,1.1904761904761905,1.4285714285714286,2.0238095238095237,2.5,1.4285714285714286,1.1904761904761905,2.619047619047619,0.9523809523809523,0.14285714285714285,0.14285714285714285,0.36904761904761907,2.0238095238095237,0.23809523809523808,7.023809523809524
Albert Grønbaek,Rennes,"MF,FW",9.0,1.3333333333333333,4.555555555555555,1.2222222222222223,1.6666666666666667,2.5555555555555554,1.1111111111111112,1.4444444444444444,1.0,3.3333333333333335,2.111111111111111,0.1111111111111111,0.1,0.16666666666666666,2.4444444444444446,0.3333333333333333,5.333333333333333
Javier Guerra,Valencia,"MF,FW",13.1,0.5343511450381679,1.6030534351145038,0.8396946564885497,1.6030534351145038,1.5267175572519085,1.1450381679389314,0.6870229007633588,3.5114503816793894,4.2748091603053435,0.6870229007633588,0.0916030534351145,0.09923664122137406,0.06870229007633588,1.5267175572519085,0.07633587786259542,4.2748091603053435
Evann Guessand,Nice,"FW,MF",17.2,1.1046511627906976,4.476744186046512,1.686046511627907,1.9767441860465118,3.1976744186046515,2.2093023255813953,0.9883720930232559,1.4534883720930234,3.0813953488372094,1.1627906976744187,0.186046511627907,0.1802325581395349,0.3604651162790698,2.441860465116279,0.5813953488372093,5.0
Pape Gueye,Villarreal,"MF,FW",12.8,0.390625,2.8125,0.3125,1.484375,1.5625,2.890625,0.859375,4.609375,6.015625,0.78125,0.0625,0.0859375,0.125,2.03125,0.0,2.8125
Morgan Guilavogui,St. Pauli,"FW,MF",12.9,1.0852713178294573,4.728682170542635,1.2403100775193798,1.3953488372093024,1.937984496124031,1.4728682170542635,0.5426356589147286,1.627906976744186,1.937984496124031,1.3953488372093024,0.10077519379844961,0.08527131782945736,0.4263565891472868,2.3255813953488373,0.46511627906976744,4.4186046511627906
Serhou Guirassy,Dortmund,FW,14.8,0.33783783783783783,4.256756756756756,0.27027027027027023,0.5405405405405405,0.6081081081081081,2.0945945945945943,0.33783783783783783,0.9459459459459459,1.4189189189189189,0.6081081081081081,0.13513513513513511,0.06081081081081081,0.4189189189189189,2.7027027027027026,0.06756756756756756,3.581081081081081
Jon Guridi,Alavés,"MF,FW",13.3,0.07518796992481203,2.1052631578947367,0.15037593984962405,1.2781954887218046,1.3533834586466165,0.7518796992481203,0.5263157894736842,2.857142857142857,3.9849624060150375,0.9022556390977443,0.045112781954887216,0.045112781954887216,0.06015037593984962,0.8270676691729323,0.07518796992481203,2.180451127819549
Gorka Guruzeta,Athletic Club,FW,11.0,0.09090909090909091,3.5454545454545454,0.5454545454545454,0.6363636363636364,0.2727272727272727,1.2727272727272727,0.0,0.9090909090909091,1.2727272727272727,0.8181818181818182,0.045454545454545456,0.009090909090909092,0.2545454545454545,2.5454545454545454,0.0,3.454545454545455
Emmanuel Gyasi,Empoli,"DF,FW",20.7,0.1932367149758454,1.1594202898550725,0.7246376811594203,0.1932367149758454,0.6280193236714976,0.3864734299516908,0.2898550724637681,1.2077294685990339,1.497584541062802,0.3864734299516908,0.024154589371980676,0.04830917874396135,0.10628019323671499,0.43478260869565216,0.0,1.6425120772946862
Erling Haaland,Manchester City,FW,21.6,0.6944444444444444,6.712962962962963,0.4629629629629629,0.6018518518518519,0.7407407407407407,0.5555555555555555,0.18518518518518517,0.37037037037037035,0.6481481481481481,0.8796296296296295,0.07407407407407407,0.05555555555555555,0.736111111111111,3.9814814814814814,0.37037037037037035,2.5
Robin Hack,Gladbach,FW,10.7,0.7476635514018692,3.0841121495327104,1.1214953271028039,1.6822429906542058,1.869158878504673,1.2149532710280375,1.1214953271028039,2.336448598130841,3.3644859813084116,0.8411214953271029,0.11214953271028037,0.14018691588785048,0.14953271028037385,2.0560747663551404,0.09345794392523366,4.4859813084112155
Phil Harres,Holstein Kiel,FW,9.3,0.6451612903225806,4.193548387096774,0.5376344086021505,0.8602150537634408,0.8602150537634408,1.5053763440860215,0.2150537634408602,0.7526881720430108,0.6451612903225806,0.8602150537634408,0.11827956989247312,0.1075268817204301,0.3870967741935484,2.7956989247311825,0.0,6.344086021505376
Jack Harrison,Everton,FW,11.1,0.7207207207207208,3.4234234234234235,0.990990990990991,0.9009009009009009,2.1621621621621623,1.3513513513513513,0.9009009009009009,1.5315315315315317,2.2522522522522523,1.2612612612612613,0.1801801801801802,0.12612612612612611,0.19819819819819823,1.3513513513513513,0.0900900900900901,4.684684684684685
Kai Havertz,Arsenal,"FW,MF",18.4,0.8152173913043479,5.0,0.4347826086956522,1.1413043478260871,1.5760869565217392,1.032608695652174,0.4347826086956522,1.3043478260869565,2.880434782608696,0.8152173913043479,0.125,0.07608695652173914,0.4565217391304348,2.4456521739130435,0.05434782608695653,3.1521739130434785
Luis Henrique,Marseille,"DF,FW",15.6,1.0897435897435899,2.8846153846153846,1.6025641025641026,1.5384615384615385,2.5,0.25641025641025644,1.0897435897435899,2.628205128205128,4.166666666666667,1.5384615384615385,0.12179487179487179,0.14102564102564105,0.15384615384615385,1.0897435897435899,0.32051282051282054,1.4743589743589745
Son Heung-min,Tottenham,FW,15.6,1.6666666666666667,5.32051282051282,1.4102564102564104,2.1794871794871797,4.102564102564103,1.0897435897435899,2.5641025641025643,1.5384615384615385,5.064102564102564,2.1153846153846154,0.3717948717948718,0.25,0.2692307692307693,2.435897435897436,0.5128205128205129,2.5641025641025643
Adam Hložek,Hoffenheim,"FW,MF",13.5,0.6666666666666666,4.888888888888889,1.4074074074074074,1.3333333333333333,2.2222222222222223,1.4814814814814814,0.8888888888888888,1.7037037037037037,3.3333333333333335,0.6666666666666666,0.0962962962962963,0.1037037037037037,0.2740740740740741,2.740740740740741,0.2222222222222222,4.666666666666667
Philipp Hofmann,Bochum,FW,13.5,0.07407407407407407,3.7037037037037037,0.5925925925925926,0.5185185185185185,0.37037037037037035,1.2592592592592593,0.4444444444444444,1.4074074074074074,2.2222222222222223,1.1851851851851851,0.2,0.15555555555555556,0.1925925925925926,1.6296296296296295,0.0,3.3333333333333335
Lucas Höler,Freiburg,"FW,MF",8.1,0.4938271604938272,4.197530864197531,0.9876543209876544,0.617283950617284,0.617283950617284,1.7283950617283952,0.7407407407407408,0.9876543209876544,1.9753086419753088,1.6049382716049383,0.14814814814814814,0.1358024691358025,0.345679012345679,1.9753086419753088,0.1234567901234568,3.08641975308642
Benedict Hollerbach,Union Berlin,"MF,FW",14.9,1.8120805369127517,5.167785234899329,1.5436241610738255,2.1476510067114094,3.3557046979865772,2.0805369127516777,1.006711409395973,0.7382550335570469,2.4161073825503356,0.9395973154362416,0.06040268456375839,0.11409395973154361,0.24161073825503357,2.214765100671141,0.33557046979865773,7.583892617449664
Franck Honorat,Gladbach,FW,10.9,1.5596330275229358,3.6697247706422016,0.6422018348623852,2.018348623853211,3.761467889908257,0.18348623853211007,1.1926605504587156,1.6513761467889907,2.8440366972477062,2.6605504587155964,0.3394495412844037,0.29357798165137616,0.3027522935779816,1.8348623853211008,0.18348623853211007,1.9266055045871557
Callum Hudson-Odoi,Nott'ham Forest,"FW,MF",16.9,1.8934911242603552,3.076923076923077,1.5976331360946747,2.6627218934911245,5.443786982248521,0.7692307692307693,1.0059171597633136,1.2426035502958581,2.899408284023669,2.0118343195266273,0.1183431952662722,0.11242603550295859,0.11242603550295859,1.5976331360946747,0.5325443786982249,3.0769230769230775
Omari Hutchinson,Ipswich Town,"MF,FW",18.9,1.3227513227513228,3.121693121693122,1.9047619047619049,1.5873015873015874,2.7513227513227516,1.4814814814814816,0.634920634920635,1.6402116402116402,2.380952380952381,0.9523809523809524,0.11111111111111112,0.0687830687830688,0.08465608465608467,1.4285714285714286,0.3703703703703704,5.291005291005291
Rasmus Højlund,Manchester Utd,FW,11.5,0.6956521739130435,2.608695652173913,0.5217391304347826,0.782608695652174,1.4782608695652173,1.4782608695652173,0.2608695652173913,0.6956521739130435,0.9565217391304348,0.9565217391304348,0.09565217391304348,0.0608695652173913,0.20869565217391303,1.0434782608695652,0.17391304347826086,4.695652173913043
Borja Iglesias,Celta Vigo,FW,12.0,0.4166666666666667,3.5833333333333335,0.6666666666666666,0.4166666666666667,0.6666666666666666,1.75,0.3333333333333333,0.75,1.1666666666666667,0.8333333333333334,0.09166666666666667,0.06666666666666667,0.39166666666666666,1.8333333333333333,0.0,4.333333333333333
Alexander Isak,Newcastle Utd,FW,18.1,1.6022099447513811,6.4088397790055245,1.7127071823204418,1.3812154696132595,2.8176795580110494,0.49723756906077343,0.718232044198895,1.3812154696132595,2.707182320441989,1.8232044198895025,0.20441988950276244,0.14917127071823205,0.6961325966850828,3.2596685082872927,0.4419889502762431,4.198895027624309
Gustav Isaksen,Lazio,FW,12.6,1.507936507936508,4.2063492063492065,1.6666666666666667,1.8253968253968254,3.0952380952380953,1.6666666666666667,0.7142857142857143,0.9523809523809524,1.3492063492063493,1.1904761904761905,0.07142857142857144,0.07936507936507936,0.17460317460317462,2.380952380952381,0.5555555555555556,3.0952380952380953
