Minute,Team,xG,PSxG,Outcome,Event Type,match_url
8,Everton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
18,Tottenham,0.15,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
19,Tottenham,0.03,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
19,Tottenham,0.06,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
22,Tottenham,0.07,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
24,Everton,0.02,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
33,Everton,0.03,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
35,Everton,0.05,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
35,Everton,0.02,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
45,Tottenham,0.32,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
50,Everton,0.05,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
56,Tottenham,0.03,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
61,Tottenham,0.02,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
68,Everton,0.02,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
70,Everton,0.09,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
70,Everton,0.11,0.03,Saved,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
76,Everton,0.03,0,Blocked,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
82,Everton,0.15,0,Off Target,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
88,Tottenham,0.04,0,Woodwork,Shot,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
90,Everton,0,0,Red Card,Red Card,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
7,Arsenal,0.15,0.15,Saved,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
16,Arsenal,0.02,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
29,Arsenal,0.02,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
34,Arsenal,0.01,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
36,Arsenal,0.79,0.97,Saved,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
39,Arsenal,0.04,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
40,Watford,0.05,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
41,Watford,0.07,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
44,Arsenal,0.15,0.29,Saved,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
47,Arsenal,0.07,0.08,Saved,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
53,Watford,0.04,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
56,Arsenal,0.07,0.19,Goal,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
72,Watford,0.07,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
78,Arsenal,0.1,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
83,Watford,0.08,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
85,Watford,0.02,0.08,Saved,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
86,Watford,0.17,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
89,Watford,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
90,Arsenal,0.1,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
90,Arsenal,0.03,0,Off Target,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
90,Arsenal,0.03,0.03,Saved,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
90,Arsenal,0.05,0,Blocked,Shot,https://fbref.com/en/matches/e0208fcf/Arsenal-Watford-November-7-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
11,Watford,0.79,0.95,Saved,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
11,Watford,0.06,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
12,Watford,0.07,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
13,Manchester Utd,0.08,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
18,Watford,0.07,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
23,Watford,0.08,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
27,Watford,0.08,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
28,Watford,0.49,0.4,Goal,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
32,Manchester Utd,0.3,0.48,Saved,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
33,Watford,0.05,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
40,Watford,0.15,0.19,Saved,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
40,Watford,0.08,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
44,Watford,0.06,0.44,Goal,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
50,Manchester Utd,0.33,0.63,Goal,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
52,Watford,0.2,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
55,Manchester Utd,0.14,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
57,Manchester Utd,0.3,0.17,Saved,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
64,Watford,0.05,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
68,Manchester Utd,0.03,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
69,Manchester United,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
70,Watford,0.03,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
71,Watford,0.06,0,Blocked,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
72,Manchester Utd,0.06,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
76,Manchester Utd,0.03,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
79,Manchester Utd,0.12,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
85,Watford,0.11,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
90,Watford,0.04,0,Off Target,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
90,Watford,0.24,0.07,Saved,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
90,Watford,0.04,0.16,Goal,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
90,Watford,0.06,0.36,Goal,Shot,https://fbref.com/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
2,Manchester City,0.08,0.09,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
7,Manchester City,0.02,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
10,Manchester City,0.04,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
15,Manchester City,0.08,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
22,Manchester City,0.04,0.03,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
23,Wolves,0.02,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
39,Manchester City,0.16,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
45,Wolverhampton Wanderers,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
45,Manchester City,0.06,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
46,Manchester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
48,Manchester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
50,Manchester City,0.04,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
53,Manchester City,0.11,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
55,Manchester City,0.18,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
58,Manchester City,0.02,0,Saved off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
59,Manchester City,0.14,0.03,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
61,Manchester City,0.03,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
66,Manchester City,0.79,0.92,Goal,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
70,Manchester City,0.56,0,Off Target,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
72,Manchester City,0.14,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
72,Manchester City,0.22,0.06,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
80,Manchester City,0.12,0.12,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
81,Manchester City,0.07,0.06,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
89,Manchester City,0.08,0.03,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
89,Manchester City,0.04,0.11,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
90,Wolves,0.17,0.22,Saved,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
90,Manchester City,0.17,0,Blocked,Shot,https://fbref.com/en/matches/d46b4a18/Manchester-City-Wolverhampton-Wanderers-December-11-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
8,West Ham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
10,Arsenal,0.03,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
25,Arsenal,0.07,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
28,Arsenal,0.11,0.07,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
34,West Ham,0.02,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
36,West Ham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
40,Arsenal,0.3,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
40,Arsenal,0.02,0.19,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
42,Arsenal,0.02,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
44,Arsenal,0.07,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
44,Arsenal,0.07,0.15,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
44,Arsenal,0.18,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
47,Arsenal,0.02,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
48,Arsenal,0.39,0.89,Goal,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
51,Arsenal,0.07,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
53,West Ham,0.07,0.43,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
58,Arsenal,0.1,0.16,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
59,Arsenal,0.05,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
62,Arsenal,0.07,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
64,West Ham,0.01,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
65,West Ham,0.12,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
67,West Ham United,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
69,Arsenal,0.79,0.99,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
69,Arsenal,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
76,Arsenal,0.07,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
79,Arsenal,0.27,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
80,Arsenal,0.02,0.22,Saved,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
87,Arsenal,0.13,0.31,Goal,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
90,West Ham,0.11,0,Blocked,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
90,Arsenal,0.02,0,Off Target,Shot,https://fbref.com/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
1,Liverpool,0.05,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
2,Liverpool,0.04,0.21,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
10,Liverpool,0.03,0.25,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
13,Tottenham,0.1,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
13,Tottenham,0.12,0.61,Goal,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
16,Tottenham,0.6,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
23,Liverpool,0.05,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
23,Liverpool,0.04,0.15,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
24,Liverpool,0.01,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
27,Liverpool,0.01,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
29,Liverpool,0.03,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
30,Tottenham,0.57,0.82,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
35,Liverpool,0.12,0.31,Goal,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
38,Tottenham,0.21,0.16,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
41,Liverpool,0.04,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
43,Liverpool,0.16,0.14,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
44,Liverpool,0.07,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
48,Liverpool,0.04,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
48,Tottenham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
50,Liverpool,0.03,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
55,Tottenham,0.25,0.36,Saved,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
56,Tottenham,0.51,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
59,Liverpool,0.04,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
61,Liverpool,0.02,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
61,Liverpool,0.01,0,Blocked,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
69,Liverpool,0.34,0.92,Goal,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
74,Tottenham,0.57,0.15,Goal,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
77,Liverpool,0,0,Red Card,Red Card,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
90,Tottenham,0.03,0,Off Target,Shot,https://fbref.com/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
1,Crystal Palace,0.11,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
3,Tottenham,0.04,0.24,Saved,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
6,Crystal Palace,0.04,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
9,Crystal Palace,0.03,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
11,Tottenham,0.02,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
11,Tottenham,0.13,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
14,Tottenham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
25,Tottenham,0.24,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
32,Tottenham,0.43,0.72,Goal,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
34,Tottenham,0.25,0.51,Goal,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
37,Crystal Palace,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
40,Tottenham,0.09,0.11,Saved,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
57,Tottenham,0.07,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
60,Crystal Palace,0.07,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
74,Tottenham,0.39,0.67,Goal,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
76,Tottenham,0.04,0.08,Saved,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
81,Tottenham,0.05,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
81,Tottenham,0.03,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
83,Tottenham,0.17,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
86,Tottenham,0.15,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
87,Tottenham,0.01,0,Blocked,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
88,Tottenham,0.14,0,Off Target,Shot,https://fbref.com/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
0,0,0,0,0,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
8,Southampton,0.11,0,Off Target,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
10,Southampton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
25,Southampton,0.02,0.45,Goal,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
29,Tottenham,0.04,0.35,Saved,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
32,Southampton,0.02,0,Off Target,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
35,Tottenham,0.02,0.03,Saved,Shot,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
39,Southampton,0,0,Red Card,Second Yellow Card,https://fbref.com/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League
